"","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name","name_c","is_endemic","is_alien","is_protected"
"14",380015,380015,380015,"8e9af2aa-8ffd-4b01-9c1a-82637f2ee4b6","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Salpa","??樽屬","Salpa fusiformis","","","",""
"15",380016,380016,380016,"2e5ad8dd-f0a3-4a81-93d0-990dc509a37f","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Thalia","","Thalia cicar","","","",""
"16",380017,380017,380017,"30ba980a-97a5-4d8d-89f7-56ea44547600","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Thalia","","Thalia democratica","雙尾薩利亞","","",""
"17",380018,380018,380018,"97791a58-c54b-4c37-a5bd-ed8a7c564ed6","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Thalia","","Thalia orientalis","","","",""
"18",380019,380019,380019,"2c40e39d-d14c-4e76-bf8b-308faff6054f","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Thalia","","Thalia rhomboides","","","",""
"19",380020,380020,380020,"68c8dd21-3f61-461c-bcdc-2291b0b4f8bd","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Traustedtia","","Traustedtia multitentaculata","","","",""
"20",380021,380021,380021,"bf6a3e58-a8a5-4c76-9658-81a672faea92","species","Amphibia","兩生綱","Anura","無尾目","Bufonidae","蟾蜍科","Bufo","蟾蜍屬","Bufo bankorensis","盤古蟾蜍","Y","",""
"21",380023,380023,380023,"9863c62f-c8f6-43a5-a337-59c2c028d804","species","Amphibia","兩生綱","Anura","無尾目","Hylidae","樹蟾科","Hyla","雨蛙屬","Hyla chinensis","中國樹蟾","","",""
"22",380024,380024,380024,"be3e1ea9-8cd4-42ee-9212-e7d003d34acf","infraspecies","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Kaloula","狹口蛙屬","Kaloula pulchra pulchra","亞洲錦蛙","","Y",""
"23",380025,380025,380025,"a0499d8b-42ee-4fd4-ab4a-f60138d4ed07","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Microhyla","姬蛙屬","Microhyla butleri","巴氏小雨蛙","","",""
"24",380026,380026,380026,"4439fe56-3d21-4c64-a2ef-bdb93008ea6e","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Microhyla","姬蛙屬","Microhyla heymonsi","黑蒙西氏小雨蛙","","",""
"25",380028,380028,380028,"a4c36a54-1c37-402d-93c2-a3f276bf8f4d","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Micryletta","小姬蛙屬","Micryletta steinegeri","史丹吉氏小雨蛙","Y","",""
"26",380029,380029,380029,"0ca5399a-baf8-4432-9d3e-cb1bd7e777cb","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Babina","拇棘蛙屬","Babina adenopleura","腹斑蛙","","",""
"27",380032,380032,380032,"4e683882-5eee-4650-869c-daf7328a1f06","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Limnonectes","大頭蛙屬","Limnonectes fujianensis","福建大頭蛙","","",""
"28",380034,380034,380034,"9fd8a640-b420-4e46-8073-f6865124c318","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Fejervarya","陸蛙屬","Fejervarya kawamurai","澤蛙","","",""
"29",380035,380035,380035,"adde0a74-1e78-4b42-9a22-62f2f444852e","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Rana","蛙屬","Rana longicrus","長腳赤蛙","","",""
"30",380038,380038,380038,"7c5aabc4-90cc-442a-b4de-ce382cc2bb48","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Pseudoamolops","赤蛙屬","Pseudoamolops sauteri","梭德氏赤蛙","","",""
"31",380043,380043,380043,"568ba3b8-0071-4ed7-b3ac-a6a9cb791873","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Buergeria","溪樹蛙屬","Buergeria japonica","日本樹蛙","","",""
"32",380044,380044,380044,"4eecc993-1f40-4c39-a245-4943530e4fb7","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Buergeria","溪樹蛙屬","Buergeria robusta","褐樹蛙","Y","",""
"33",380045,380045,380045,"ec171c0f-c458-4949-90d2-8a69dfa073c6","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Kurixalus","原指樹蛙屬","Kurixalus eiffingeri","艾氏樹蛙","","",""
"34",380046,380046,380046,"483cec07-4b28-4ddb-a0a6-13788def5ec5","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Kurixalus","原指樹蛙屬","Kurixalus idiootocus","面天樹蛙","Y","",""
"35",380047,380047,380047,"1488d5cc-26fb-43ae-8d18-040edea6bb27","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Polypedates","泛樹蛙屬","Polypedates megacephalus","斑腿樹蛙","","Y",""
"36",380048,380048,380048,"24ac63cf-dc3f-4431-a176-1f9225c6a56a","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","Rhacophorus arvalis","諸羅樹蛙","Y","","Y"
"37",380049,380049,380049,"ea348cf4-0ae6-4eec-8556-5084d658982e","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","Rhacophorus aurantiventris","橙腹樹蛙","Y","","Y"
"38",380050,380050,380050,"174930ef-4c05-4db5-801d-700f00bcf311","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","Rhacophorus moltrechti","莫氏樹蛙","Y","",""
"39",380051,380051,380051,"8ce5f221-61ad-4e5d-a084-5084d8c9b055","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","Rhacophorus prasinatus","翡翠樹蛙","Y","","Y"
"40",380052,380052,380052,"3a7000ea-cb36-4995-8d90-7dcd37c51a34","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","Rhacophorus taipeianus","臺北樹蛙","Y","","Y"
"41",380053,380053,380053,"00a2f8fd-ff08-4b5f-8d37-0880e7320587","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","Hynobius arisanensis","阿里山山椒魚","Y","","Y"
"42",380054,380054,380054,"53f81e9d-d079-42a1-a9f1-6fa6e96eaa52","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","Hynobius formosanus","臺灣山椒魚","Y","","Y"
"43",380055,380055,380055,"9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","Hynobius sonani","楚南氏山椒魚","Y","","Y"
"44",380056,380056,380056,"76ccc3a9-51b0-4cda-9685-f997e722569c","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aix","鴛鴦屬","Aix galericulata","鴛鴦","","","Y"
"45",380057,380057,380057,"99a7a10b-343b-4300-9e7b-ba118a0d60ff","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas acuta","尖尾鴨","","",""
"46",380058,380058,380058,"855f6772-3596-46eb-83b3-f7a9b5c23efe","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas americana","葡萄胸鴨","","",""
"47",380059,380059,380059,"a34e2798-e835-4885-ac47-f9a752ab0f24","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas clypeata","琵嘴鴨","","",""
"48",380060,380060,380060,"a287c39c-b311-4920-a675-1a3df2d2d050","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas crecca crecca","小水鴨","","",""
"49",380061,380061,380061,"c9e4084a-8d54-437b-bd05-8d27532139c6","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas falcata","羅文鴨","","",""
"50",380062,380062,380062,"91f5fda8-7899-4f78-bb37-e5a2ed2db732","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas formosa","巴鴨","","","Y"
"51",380063,380063,380063,"e486a442-46fe-47b3-a92a-d80d7c72b5e4","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas luzonica","呂宋鴨","","",""
"52",380064,380064,380064,"f1be7b47-b980-4275-af26-a3d255915237","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas penelope","赤頸鴨","","",""
"53",380065,380065,380065,"97a8e575-22b7-48ac-acc6-1580021c530a","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas platyrhynchos platyrhynchos","綠頭鴨","","",""
"54",380067,380067,380067,"463dd63a-ff6f-4d55-b897-fe888e25c88a","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas querquedula","白眉鴨","","",""
"55",380068,380068,380068,"39e63d72-5117-4fe7-9d79-6767d87df1dd","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","Anas strepera strepera","赤膀鴨","","",""
"56",380069,380069,380069,"02ac38b2-e6c9-4ea1-b0ee-55198bb9d2dc","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anser","雁屬","Anser albifrons frontalis","白額雁","","",""
"57",380071,380071,380071,"9e4f5b40-ceae-4fc5-bec4-b1b65ef1f7ca","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anser","雁屬","Anser cygnoides","鴻雁","","",""
"58",380072,380072,380072,"925fa76b-afac-482a-aaa2-af890f137cf8","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anser","雁屬","Anser erythropus","小白額雁","","",""
"59",380074,380074,380074,"88627d2d-13c6-4f89-976e-a31805d01c90","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aythya","潛鴨屬","Aythya baeri","青頭潛鴨","","",""
"60",380075,380075,380075,"f76d0089-0522-41ca-a311-ea1e1e0bcb37","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aythya","潛鴨屬","Aythya ferina","紅頭潛鴨","","",""
"61",380076,380076,380076,"1f4449ea-89de-4222-8c93-c79432630bc0","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aythya","潛鴨屬","Aythya fuligula","鳳頭潛鴨","","",""
"62",380078,380078,380078,"33d836b8-ba00-4200-bd09-e8648e583d52","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aythya","潛鴨屬","Aythya nyroca","白眼潛鴨","","",""
"63",380079,380079,380079,"d8f4a0f7-b433-4405-8e19-83384fd1ac09","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aythya","潛鴨屬","Aythya valisineria","帆背潛鴨","","",""
"64",380081,380081,380081,"f62540ca-eef0-4dde-8b5b-c08fa5546fde","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Bucephala","鵲鴨屬","Bucephala clangula clangula","鵲鴨","","",""
"65",380082,380082,380082,"d1217867-c57e-4f76-a9c6-0928e4429d22","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Cygnus","天鵝屬","Cygnus columbianus bewickii","小天鵝","","",""
"66",380083,380083,380083,"5b2d0225-fa64-488e-a269-8e2eb35f0568","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Cygnus","天鵝屬","Cygnus cygnus","大天鵝","","",""
"67",380084,380084,380084,"7ae2ec68-7372-454d-b62f-15cfd9f24218","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Cygnus","天鵝屬","Cygnus olor","疣鼻天鵝","","",""
"68",380085,380085,380085,"ce9febd3-4f98-40d5-9193-67005e9d04b2","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Mergellus","小秋沙屬","Mergellus albellus","白秋沙","","",""
"69",380086,380086,380086,"fc2946f6-d415-4540-aab6-8fa1868be6bc","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Mergus","秋沙屬","Mergus merganser merganser","川秋沙","","",""
"70",380087,380087,380087,"5fc4ccd8-51a7-45fd-baad-605fc68f3b9c","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Mergus","秋沙屬","Mergus serrator","紅胸秋沙","","",""
"71",380088,380088,380088,"629ea7b1-f65a-4df0-95be-0494829346d8","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Mergus","秋沙屬","Mergus squamatus","唐秋沙","","",""
"72",380089,380089,380089,"515edd93-bcb8-4c30-b78e-ce8ce4ae890e","infraspecies","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Nettapus","棉鴨屬","Nettapus coromandelianus coromandelianus","棉鴨","","",""
"73",380090,380090,380090,"7157babf-6311-4585-bf0c-a9c726eddf5a","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Tadorna","麻鴨屬","Tadorna ferruginea","瀆鳧","","",""
"74",380091,380091,380091,"d597bcbe-c1a9-4595-a1c8-2f8ac8331ac5","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Tadorna","麻鴨屬","Tadorna tadorna","花鳧","","",""
"75",380092,380092,380092,"8089a892-6718-4871-b52a-d73aa8424712","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Dendrocygna","樹鴨屬","Dendrocygna javanica","樹鴨","","",""
"76",380093,380093,380093,"3d76dac0-19e1-43ff-b0fd-dd95c88bfac6","infraspecies","Aves","鳥綱","Apodiformes","雨燕目","Apodidae","雨燕科","Apus","雨燕屬","Apus nipalensis kuntzi","小雨燕","Y","",""
"77",380094,380094,380094,"6b8afb68-66ae-4ae9-9b10-93375cbeec58","infraspecies","Aves","鳥綱","Apodiformes","雨燕目","Apodidae","雨燕科","Apus","雨燕屬","Apus pacificus pacificus","叉尾雨燕(過境亞種)","","",""
"78",380095,380095,380095,"d042a013-365a-40df-8693-51cc484382a8","infraspecies","Aves","鳥綱","Apodiformes","雨燕目","Apodidae","雨燕科","Hirundapus","針尾雨燕屬","Hirundapus caudacutus caudacutus","白喉針尾雨燕","","",""
"79",380096,380096,380096,"fea1180f-5663-4500-95bd-c8e8530e1038","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","Accipiter gentilis fujiyamae","蒼鷹(日本亞種)","","",""
"80",380097,380097,380097,"2d6dd3dd-f84a-4a5d-931c-46ebd54602d5","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","Accipiter gularis gularis","日本松雀鷹","","","Y"
"81",380098,380098,380098,"4b695626-9998-4d81-9868-d01ab2659431","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","Accipiter nisus nisosimilis","北雀鷹","","","Y"
"82",380099,380099,380099,"361a3560-d085-4fd2-b6f6-521f4c8049a5","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","Accipiter soloensis","赤腹鷹","","","Y"
"83",380100,380100,380100,"8b793d63-11b9-47e2-b5bd-6fb62571ca19","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","Accipiter trivirgatus formosae","鳳頭蒼鷹(台灣特有亞種)","Y","","Y"
"84",380101,380101,380101,"83d5702a-0f7d-44cb-bb4b-0363432d7683","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Accipiter","鷹屬","Accipiter virgatus fuscipectus","松雀鷹(台灣特有亞種)","Y","","Y"
"85",380102,380102,380102,"382b65de-c823-4945-9a77-00bd707eeb94","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Aegypius","禿鷲屬","Aegypius monachus","禿鷲","","",""
"86",380104,380104,380104,"08dd93ce-8d46-44a9-92ba-8f4a5aec3cf1","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Aquila","鵰屬","Aquila heliaca","白肩鵰","","","Y"
"87",380105,380105,380105,"dff00aa5-f437-45cb-aefb-14ce0ecb9a75","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Butastur","鵟鷹屬","Butastur indicus","灰面鵟鷹","","","Y"
"88",380107,380107,380107,"366e2e63-8640-4953-adfa-ff5e76125d3b","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Buteo","鵟屬","Buteo lagopus menzbieri","毛足鵟(西伯利亞亞種)","","",""
"89",380108,380108,380108,"0de4d8f5-1318-489c-a961-75fa05f76e0b","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Circus","鷂屬","Circus cyaneus cyaneus","灰澤鵟","","","Y"
"90",380109,380109,380109,"001e4cc4-f14f-4139-b015-cd5267d786cc","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Circus","鷂屬","Circus melanoleucos","花澤鵟","","","Y"
"91",380110,380110,380110,"7a1c4d23-f5a4-4169-985e-0591c12bd4fd","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Circus","鷂屬","Circus spilonotus spilonotus","東方澤鵟","","","Y"
"92",380113,380113,380113,"b20f5a90-dff6-48a9-b9ba-fd047d2ec7b7","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Ictinaetus","林鵰屬","Ictinaetus malaiensis malaiensis","林鵰","","","Y"
"93",380115,380115,380115,"27212316-f8b0-408b-8ca7-bafa764542a0","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Pandionidae","鶚科","Pandion","鶚屬","Pandion haliaetus haliaetus","魚鷹","","","Y"
"94",380117,380117,380117,"9e3f272f-1fc2-41e5-9ce7-5c3885a967ec","infraspecies","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Spilornis","蛇鵰屬","Spilornis cheela hoya","大冠鷲","Y","","Y"
"95",380119,380119,380119,"1987e6a0-9ef1-4cd6-80a4-f4c8dcae4225","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Ardea","蒼鷺屬","Ardea cinerea jouyi","蒼鷺","","",""
"96",380121,380121,380121,"df159770-6e41-445f-bb41-5d5291526689","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Ardea","蒼鷺屬","Ardea purpurea manilensis","紫鷺","","",""
"97",380122,380122,380122,"b1633163-5dfb-4bdc-a3b7-77a0f3b3a45f","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Ardeola","池鷺屬","Ardeola bacchus","池鷺","","",""
"98",380123,380123,380123,"b666a32b-0a17-4f6c-b8ae-2e5a56becf5b","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Botaurus","大麻鷺屬","Botaurus stellaris stellaris","大麻鷺","","",""
"99",380124,380124,380124,"e95c51ba-0f2c-4239-9006-6aaf814d506f","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Bubulcus","牛背鷺屬","Bubulcus ibis coromandus","黃頭鷺","","",""
"100",380127,380127,380127,"6a0bd750-3793-403c-abba-57fb49246e85","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Ixobrychus","葦鷺屬","Ixobrychus flavicollis flavicollis","黃頸黑鷺","","",""
"101",380128,380128,380128,"f5dfc0e5-6e0e-49a6-8b5e-d1c17e8c246d","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Egretta","白鷺屬","Egretta eulophotes","唐白鷺","","","Y"
"102",380129,380129,380129,"a90c00c1-7501-4e45-93bd-ecf0d53aae9a","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Egretta","白鷺屬","Egretta garzetta garzetta","小白鷺","","",""
"103",380131,380131,380131,"631788f9-a3a7-48d2-bf87-a7caf02026a9","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Egretta","白鷺屬","Egretta sacra sacra","岩鷺","","",""
"104",380132,380132,380132,"6dffa02d-95b8-4d06-b509-dda361173a01","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Gorsachius","麻鷺屬","Gorsachius goisagi","麻鷺","","","Y"
"105",380133,380133,380133,"ccd07aad-ec68-4eed-bc63-7a7e474e9eb4","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Gorsachius","麻鷺屬","Gorsachius melanolophus","黑冠麻鷺","","",""
"106",380134,380134,380134,"bb7055f0-26e8-4bf2-a460-c5ba0c77a44d","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Ixobrychus","葦鷺屬","Ixobrychus eurhythmus","秋小鷺","","",""
"107",380135,380135,380135,"af9d43df-d0cf-4d00-ae49-a529c4015685","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Ixobrychus","葦鷺屬","Ixobrychus sinensis","黃小鷺","","",""
"108",380137,380137,380137,"44211b49-e49a-49ab-a43c-37d307a83388","infraspecies","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Nycticorax","夜鷺屬","Nycticorax nycticorax nycticorax","夜鷺","","",""
"109",380138,380138,380138,"27897bfa-444f-43fa-9c4e-71f55de5986b","infraspecies","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius alexandrinus dealbatus","東方環頸?(華東亞種)","","",""
"110",380139,380139,380139,"7d616cdd-8a55-4742-a160-590b49b55c27","infraspecies","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius dubius curonicus","小環頸?","","",""
"111",380140,380140,380140,"e605f49e-6e56-41c6-9520-8768c32328e0","infraspecies","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius hiaticula tundrae","環頸?","","",""
"112",380141,380141,380141,"74eded14-8860-4fde-8b93-dff81f34bb7c","infraspecies","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius leschenaultii leschenaultii","鐵嘴?","","",""
"113",380142,380142,380142,"c7ada981-98d6-4eaf-9387-ec6dea18b2d6","infraspecies","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius mongolus mongolus","蒙古?(指名亞種)","","",""
"114",380143,380143,380143,"5d0f1fa8-f66b-470b-9a78-0b2f896a81f8","species","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius placidus","劍?","","",""
"115",380144,380144,380144,"e643059f-ab7e-4e5f-a6d3-93bcc10f57b1","species","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Charadrius","?屬","Charadrius veredus","東方紅胸?","","",""
"116",380145,380145,380145,"2a4fe9a8-bc2f-46bf-aff1-88dfdf658954","infraspecies","Aves","鳥綱","Charadriiformes","?形目","Haematopodidae","蠣鷸科","Haematopus","蠣鷸屬","Haematopus ostralegus osculans","蠣?","","",""
"117",380147,380147,380147,"066976a0-c5ed-46d1-b59f-074b49fe0585","species","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Pluvialis","斑?屬","Pluvialis fulva","太平洋金斑?","","",""
"118",380149,380149,380149,"8cf906d2-0fd8-44fd-91ad-d0f7c6a0551a","species","Aves","鳥綱","Charadriiformes","?形目","Recurvirostridae","長腳鷸科","Recurvirostra","反嘴長腳鷸屬","Recurvirostra avosetta","反嘴?","","",""
"119",380150,380150,380150,"514946bf-5f48-4fde-b047-028de028a781","species","Aves","鳥綱","Charadriiformes","?形目","Charadriidae","?科","Vanellus","麥雞屬","Vanellus cinereus","跳?","","",""
